"abs"	"ord"	Clust2	Segregation	Seg_High	Seg_Medium	Seg_Low	Seg_No
-256	110	2	Green	Green	Green	Green	Orange
-286	-154	2	Green	Orange	Green	Orange	Orange
273	-30	1	Orange	Orange	Orange	Orange	Green
-293	-162	2	Green	Green	Green	Green	Green
-18	218	2	Green	Green	Green	Green	Green
-303	-113	2	Green	Green	Green	Green	Green
93	-255	1	Orange	Orange	Orange	Orange	Orange
312	199	1	Orange	Orange	Orange	Orange	Green
-398	225	2	Green	Green	Green	Orange	Green
-357	-216	2	Green	Orange	Green	Green	Green
-89	-108	2	Green	Green	Orange	Green	Green
-182	55	2	Green	Green	Orange	Green	Green
-222	-206	2	Green	Green	Orange	Green	Orange
301	97	1	Orange	Green	Green	Green	Green
-203	15	2	Green	Green	Green	Green	Orange
-85	-156	2	Green	Green	Orange	Green	Green
115	208	1	Orange	Orange	Orange	Orange	Green
-295	113	2	Green	Green	Green	Green	Orange
58	130	1	Orange	Orange	Orange	Orange	Orange
-329	-254	2	Green	Green	Green	Orange	Green
-134	281	2	Green	Green	Green	Green	Orange
148	187	1	Orange	Orange	Orange	Green	Green
-89	27	2	Green	Orange	Green	Green	Orange
48	-42	1	Orange	Green	Orange	Green	Green
328	-163	1	Orange	Orange	Orange	Orange	Green
79	89	1	Orange	Orange	Green	Orange	Green
-254	271	2	Green	Green	Green	Green	Green
90	284	1	Orange	Orange	Green	Orange	Green
356	159	1	Orange	Orange	Green	Green	Green
-57	-15	2	Green	Green	Green	Orange	Orange
105	-271	1	Orange	Orange	Orange	Orange	Green
257	220	1	Orange	Orange	Orange	Green	Orange
-248	131	2	Green	Green	Green	Orange	Orange
303	235	1	Orange	Orange	Orange	Orange	Green
281	109	1	Orange	Orange	Green	Green	Orange
-282	-25	2	Green	Green	Orange	Green	Green
-207	-124	2	Green	Green	Green	Green	Green
-175	231	2	Green	Green	Green	Orange	Orange
-206	222	2	Green	Green	Green	Green	Green
139	-99	1	Orange	Orange	Orange	Orange	Green
-130	-270	2	Green	Orange	Green	Green	Green
-321	-50	2	Green	Green	Green	Green	Green
-195	-74	2	Green	Green	Green	Green	Green
136	-260	1	Orange	Orange	Orange	Orange	Orange
-102	-43	2	Green	Green	Green	Green	Orange
-180	166	2	Green	Green	Orange	Green	Orange
179	258	1	Orange	Orange	Orange	Orange	Green
-150	-123	2	Green	Green	Green	Green	Orange
57	-184	1	Orange	Orange	Orange	Orange	Green
-12	176	2	Green	Green	Green	Orange	Orange
-274	262	2	Green	Green	Green	Green	Green
-68	26	2	Green	Green	Green	Green	Green
-193	212	2	Green	Green	Green	Green	Green
-101	-101	2	Green	Green	Green	Green	Green
329	209	1	Orange	Orange	Orange	Orange	Green
-2	82	2	Green	Green	Orange	Green	Orange
297	180	1	Orange	Orange	Green	Green	Orange
-354	173	2	Green	Green	Green	Orange	Orange
-287	52	2	Green	Green	Green	Orange	Green
-96	192	2	Green	Green	Green	Green	Orange
-272	-150	2	Green	Green	Green	Orange	Orange
1	271	2	Green	Green	Green	Green	Orange
-27	32	2	Green	Green	Green	Green	Green
-262	207	2	Green	Green	Orange	Green	Green
313	-17	1	Orange	Orange	Orange	Green	Orange
286	-229	1	Orange	Orange	Orange	Orange	Orange
-347	-196	2	Green	Green	Green	Green	Green
-325	-28	2	Green	Green	Green	Green	Orange
17	-208	1	Orange	Orange	Orange	Orange	Green
303	-240	1	Orange	Orange	Orange	Orange	Orange
330	66	1	Orange	Orange	Orange	Orange	Orange
355	-31	1	Orange	Orange	Orange	Orange	Green
-239	124	2	Green	Green	Green	Green	Orange
149	-12	1	Orange	Orange	Orange	Orange	Green
-232	31	2	Green	Green	Green	Green	Green
