"Abscisse"	"Ordonnee"
-172	-35
10	-250
98	69
369	74
377	22
-142	-218
-392	-30
-320	293
63	-181
-15	159
372	34
-182	141
74	263
-371	157
-212	298
-241	249
336	264
-23	254
344	107
-259	-293
70	-175
-195	-193
331	190
354	-223
22	244
-7	-27
-310	116
16	240
-298	-119
-344	95
-353	-243
41	260
-320	217
-221	-178
-156	-38
-251	-103
-240	184
-378	-230
265	-185
254	247
-293	182
-323	-154
-200	8
363	-201
226	-197
-278	108
400	-87
-364	262
82	166
-282	-119
238	250
73	-216
-92	-165
-341	65
122	-187
110	267
13	280
379	100
-387	-246
-104	224
188	253
-191	-143
159	200
-91	284
6	-195
-67	104
-294	102
222	-162
-270	132
-390	97
368	74
144	227
6	-152
