"abs" "ord"
-216 -230
-170 -10
157 91
-95 -259
360 -81
365 -166
-256 -125
392 44
318 202
-87 136
-216 -56
-128 -30
226 175
244 254
-156 -163
-108 243
346 -61
-160 41
100 -44
25 203
75 119
-65 275
-358 187
263 216
295 133
391 20
-74 -47
-359 10
-99 147
36 -13
-116 -62
393 74
-248 -130
264 179
369 252
331 173
103 116
43 118
391 -155
-226 -169
-90 254
194 -96
-267 -211
-137 2
-246 0
4 98
-333 217
-344 -184
232 -205
241 -226
157 122
330 133
372 -30
123 -125
-13 290
101 -221
-397 -261
-333 228
358 60
360 -6
260 260
227 49
-189 -91
153 290
-221 131
-387 49
156 50
332 157
-273 196
-77 247
119 -280
293 183
147 299
276 225
-80 -295
