"abs"	"ord"
-27	46
-132	-166
-270	-101
-83	126
-376	192
-303	-46
-59	278
94	287
-189	204
-19	298
290	220
-281	121
-256	-66
399	-111
273	208
-286	-216
-124	11
312	56
-144	265
167	77
103	52
-49	-135
-128	-211
346	181
170	-68
105	192
197	111
-311	230
-181	-233
-321	167
206	73
131	-136
179	-119
-33	-91
140	-103
160	186
252	-135
153	263
173	241
312	-194
-128	179
135	-250
-93	-129
-212	97
311	171
241	166
77	-227
382	-77
-138	-121
244	152
-374	0
-41	191
-188	-118
-73	195
-244	236
35	-288
348	-147
219	271
398	40
258	239
-87	-126
-92	-59
319	23
-145	-81
-233	-225
51	-64
-14	-237
-348	272
-191	-48
-136	295
-136	42
-326	170
155	243
-307	5
296	-246
