"abs" "ord"
337 199
-236 -185
-213 69
-374 103
-84 -61
338 -63
287 225
-2 123
212 -47
106 -79
-323 -7
-80 -3
222 -20
-142 -34
325 -221
-381 -198
51 233
337 -122
164 -238
-52 132
-296 163
-380 291
-258 223
189 244
-96 158
-136 -175
248 -60
-325 -246
211 -36
300 -153
-294 72
-53 76
-342 198
-125 28
111 145
47 98
61 -234
-113 179
-104 -48
-355 175
88 131
-202 -172
-238 196
379 -42
394 48
-47 139
-204 271
-106 238
-143 112
-23 -180
-3 162
96 172
58 -226
-131 -296
260 -207
-303 -246
84 17
143 165
-286 223
-31 132
103 -190
231 265
274 -182
296 237
237 -160
-356 117
213 -162
-206 -24
289 83
-344 244
-329 -156
-210 -156
238 -242
118 -280
346 -9
