"abs" "ord"
-266 180
330 -111
-318 -250
340 129
-146 237
-146 -121
-157 -17
-161 -185
128 -274
99 234
-22 136
-69 6
90 109
395 -36
-79 142
-262 179
-265 67
357 -233
336 -33
-386 -205
234 -234
-339 -132
-30 173
241 165
88 216
174 12
192 38
70 -280
-22 215
322 -273
380 33
-385 264
-277 135
0 281
-166 291
-172 8
339 -57
21 -59
167 61
-77 62
-206 -190
215 159
-261 -196
-73 -20
84 -257
124 -30
-75 -156
-150 259
179 -176
-156 -80
356 69
167 -40
1 -253
349 -286
11 -260
287 71
-178 147
-312 146
-74 182
195 218
183 -74
-63 196
232 -220
224 -294
125 -292
-318 -235
-278 -233
311 206
23 -258
124 -196
396 -198
-374 -130
-106 206
265 -201
-331 286
